ISSN,DOI,authors,year,title,journal,URL,citations,year_for_citations_by_year,citations_per_year,more_than_30_citations_per_year,psych_study_on_human_participants
0022-0965,10.1016/j.jecp.2023.105628,Hunter; Markant,2023,6- to 10-year-old children do not show race-based orienting biases to faces during an online attention capture task,Journal of Experimental Child Psychology,https://doi.org/10.1016/j.jecp.2023.105628,1,2023,0.5,FALSE,NA
0022-0965,10.1016/j.jecp.2017.11.008,Thacker; Chambers; Graham,2018,When it is apt to adapt: Flexible reasoning guides children’s use of talker identity and disfluency cues,Journal of Experimental Child Psychology,https://doi.org/10.1016/j.jecp.2017.11.008,10,2018,1.43,FALSE,NA
0022-0965,10.1016/j.jecp.2007.06.004,Gilissen; Bakermans-Kranenburg; van IJzendoorn; van der Veer,2008,"Parent–child relationship, temperament, and physiological reactions to fear-inducing film clips: Further evidence for differential susceptibility",Journal of Experimental Child Psychology,https://doi.org/10.1016/j.jecp.2007.06.004,59,2008,3.47,FALSE,NA
0022-0965,10.1016/j.jecp.2016.06.012,Hardecker; Schmidt; Roden; Tomasello,2016,Young children’s behavioral and emotional responses to different social norm violations,Journal of Experimental Child Psychology,https://doi.org/10.1016/j.jecp.2016.06.012,49,2016,5.44,FALSE,NA
1939-2192,10.1037/xap0000518,Patel; Yang; Steyvers; Benjamin,2024,The metacognition of vigilance: Using self-scheduled breaks to improve sustained attention.,Journal of Experimental Psychology: Applied,https://doi.org/10.1037/xap0000518,0,2024,0,FALSE,NA
1076-898X,10.1037/a0031042.supp,NA,2012,Supplemental Material for The Role of Visual Speech Information in Supporting Perceptual Learning of Degraded Speech,Journal of Experimental Psychology: Applied,https://doi.org/10.1037/a0031042.supp,0,2012,0,FALSE,NA
1939-2192,10.1037/xap0000451,Inbar; Waldhof,2023,Mitigating consequence insensitivity for genetically engineered crops.,Journal of Experimental Psychology: Applied,https://doi.org/10.1037/xap0000451,2,2023,1,FALSE,NA
1939-2192,10.1037/xap0000516,Wang; Shen; Cheng; Xie,2024,From surviving to thriving: How preferences shift in helping resource allocation.,Journal of Experimental Psychology: Applied,https://doi.org/10.1037/xap0000516,0,2024,0,FALSE,NA
1939-2192,10.1037/xap0000512,Warden; Wickens; Clegg; Ortega,2024,Quantitative effects of overlay clutter and information access effort: Examining the scan-clutter trade-off in displays with geospatial maps.,Journal of Experimental Psychology: Applied,https://doi.org/10.1037/xap0000512,0,2024,0,FALSE,NA
1939-2192,10.1037/xap0000428,Brand; Meyerhoff; Holl; Scholl,2023,When linguistic uncertainty spreads across pieces of information: Remembering facts on the news as speculation.,Journal of Experimental Psychology: Applied,https://doi.org/10.1037/xap0000428,0,2023,0,FALSE,NA
1939-2192,10.1037/xap0000351,Koc; Gulseren; Lyubykh,2021,Masculinity contest culture reduces organizational citizenship behaviors through decreased organizational identification.,Journal of Experimental Psychology: Applied,https://doi.org/10.1037/xap0000351,10,2021,2.5,FALSE,NA
1076-898X,10.1037/xap0000438.supp,NA,2022,Supplemental Material for Preference for Experiences: Regulatory Focus and the Trade-Offs Between Experiential and Material Purchases,Journal of Experimental Psychology: Applied,https://doi.org/10.1037/xap0000438.supp,0,2022,0,FALSE,NA
1939-2192,10.1037/xap0000374,Garfin; Fischhoff; Holman; Silver,2021,Risk perceptions and health behaviors as COVID-19 emerged in the United States: Results from a probability-based nationally representative sample.,Journal of Experimental Psychology: Applied,https://doi.org/10.1037/xap0000374,35,2021,8.75,FALSE,NA
1939-2192,10.1037/xap0000369,Meagher; McDaniel; Nosofsky,2022,Effects of feature highlighting and causal explanations on category learning in a natural-science domain.,Journal of Experimental Psychology: Applied,https://doi.org/10.1037/xap0000369,2,2022,0.67,FALSE,NA
1939-2222,10.1037/xge0000128,Fawcett; Lawrence; Taylor,2016,The representational consequences of intentional forgetting: Impairments to both the probability and fidelity of long-term memory.,Journal of Experimental Psychology: General,https://doi.org/10.1037/xge0000128,52,2016,5.78,FALSE,NA
0096-3445,10.1037/xge0001171.supp,NA,2022,Supplemental Material for The Speed of Stories: Semantic Progression and Narrative Success,Journal of Experimental Psychology: General,https://doi.org/10.1037/xge0001171.supp,0,2022,0,FALSE,NA
1939-2222,10.1037/xge0000706,Scheerer; Jacobson; Jones,2020,Sensorimotor control of vocal production in early childhood.,Journal of Experimental Psychology: General,https://doi.org/10.1037/xge0000706,5,2020,1,FALSE,NA
0096-3445,10.1037/xge0000513.supp,NA,2019,Supplemental Material for Multisensory Perceptual Interactions Between Higher-Order Temporal Frequency Signals,Journal of Experimental Psychology: General,https://doi.org/10.1037/xge0000513.supp,0,2019,0,FALSE,NA
1939-2222,10.1037/xge0001205,NA,2022,"""Reflecting on identity change facilitates confession of past misdeeds"": Correction.",Journal of Experimental Psychology: General,https://doi.org/10.1037/xge0001205,0,2022,0,FALSE,NA
1939-2222,10.1037/xge0001179,Ghasemi; Handley; Howarth; Newman; Thompson,2022,Logical intuition is not really about logic.,Journal of Experimental Psychology: General,https://doi.org/10.1037/xge0001179,14,2022,4.67,FALSE,NA
1939-2222,10.1037/xge0000534,Roberts; Ho; Gelman,2019,The role of group norms in evaluating uncommon and negative behaviors.,Journal of Experimental Psychology: General,https://doi.org/10.1037/xge0000534,28,2019,4.67,FALSE,NA
1939-2222,10.1037/xge0001377,Larrouy-Maestri; Kegel; Schlotz; van Rijn; Menninghaus; Poeppel,2023,Ironic twists of sentence meaning can be signaled by forward move of prosodic stress.,Journal of Experimental Psychology: General,https://doi.org/10.1037/xge0001377,3,2023,1.5,FALSE,NA
1939-2222,10.1037/xge0000597,Shanks; Vadillo,2019,"Still no evidence that risk-taking and consumer choices can be primed by mating motives: Reply to Sundie, Beal, Neuberg, and Kenrick (2019).",Journal of Experimental Psychology: General,https://doi.org/10.1037/xge0000597,3,2019,0.5,FALSE,NA
0096-3445,10.1037/xge0001526.supp,NA,2024,Supplemental Material for Weaker Semantic Priming Effects With Number Words in the Second Language of Math Learning,Journal of Experimental Psychology: General,https://doi.org/10.1037/xge0001526.supp,0,2024,0,FALSE,NA
1939-1277,10.1037/xhp0000628,Searston; Thompson; Vokey; French; Tangen,2019,How low can you go? Detecting style in extremely low resolution images.,Journal of Experimental Psychology: Human Perception and Performance,https://doi.org/10.1037/xhp0000628,4,2019,0.67,FALSE,NA
0096-1523,10.1037/xhp0000624.supp,NA,2019,Supplemental Material for Contrasting Episodic and Template-Based Guidance During Search Through Natural Scenes,Journal of Experimental Psychology: Human Perception and Performance,https://doi.org/10.1037/xhp0000624.supp,0,2019,0,FALSE,NA
1939-1277,10.1037/xhp0000339,Livingstone; Christie; Wright; McDonald,2017,"Signal enhancement, not active suppression, follows the contingent capture of visual attention.",Journal of Experimental Psychology: Human Perception and Performance,https://doi.org/10.1037/xhp0000339,22,2017,2.75,FALSE,NA
1939-1277,10.1037/a0011633,Yates; Friend; Ploetz,2008,Phonological neighbors influence word naming through the least supported phoneme.,Journal of Experimental Psychology: Human Perception and Performance,https://doi.org/10.1037/a0011633,5,2008,0.29,FALSE,NA
1939-1277,10.1037/xhp0000319,Conway; Lee; Ojaghi; Catmur; Bird,2017,Submentalizing or mentalizing in a Level 1 perspective-taking task: A cloak and goggles test.,Journal of Experimental Psychology: Human Perception and Performance,https://doi.org/10.1037/xhp0000319,49,2017,6.13,FALSE,NA
1939-1277,10.1037/xhp0001222,Kroczek; Roßkopf; Stärz; Blau; van de Par; Mühlberger,2024,The influence of affective voice on sound distance perception.,Journal of Experimental Psychology: Human Perception and Performance,https://doi.org/10.1037/xhp0001222,0,2024,0,FALSE,NA
0096-1523,10.1037/xhp0001017.supp,NA,2022,Supplemental Material for The Power of the Self: Anchoring Information Processing Across Contexts,Journal of Experimental Psychology: Human Perception and Performance,https://doi.org/10.1037/xhp0001017.supp,0,2022,0,FALSE,NA
0096-1523,10.1037/xhp0000526.supp,NA,2018,Supplemental Material for Who Gains More: Experts or Novices? The Benefits of Interaction Under Numerical Uncertainty,Journal of Experimental Psychology: Human Perception and Performance,https://doi.org/10.1037/xhp0000526.supp,0,2018,0,FALSE,NA
1939-1277,10.1037/0096-1523.34.3.556,Jackson; Raymond,2008,Familiarity enhances visual working memory for faces.,Journal of Experimental Psychology: Human Perception and Performance,https://doi.org/10.1037/0096-1523.34.3.556,75,2008,4.41,FALSE,NA
0096-1523,10.1037/xhp0000582.supp,NA,2019,"Supplemental Material for Perceiving Faces: Too Much, Too Fast?—Face Specificity in Response Caution",Journal of Experimental Psychology: Human Perception and Performance,https://doi.org/10.1037/xhp0000582.supp,0,2019,0,FALSE,NA
1939-1285,10.1037/a0017518,Hilbig; Erdfelder; Pohl,2010,One-reason decision making unveiled: A measurement model of the recognition heuristic.,"Journal of Experimental Psychology: Learning, Memory, and Cognition",https://doi.org/10.1037/a0017518,22,2010,1.47,FALSE,NA
1939-1285,10.1037/xlm0000805,Jesse,2021,Sentence context guides phonetic retuning to speaker idiosyncrasies.,"Journal of Experimental Psychology: Learning, Memory, and Cognition",https://doi.org/10.1037/xlm0000805,7,2021,1.75,FALSE,NA
0278-7393,10.1037/xlm0000442.supp,NA,2018,Supplemental Material for Individual Variability in the Semantic Processing of English Compound Words,"Journal of Experimental Psychology: Learning, Memory, and Cognition",https://doi.org/10.1037/xlm0000442.supp,0,2018,0,FALSE,NA
1939-1285,10.1037/xlm0000994,Kreiner; Gamliel,2022,Framing fake news: Asymmetric attribute-framing bias for favorable and unfavorable outcomes.,"Journal of Experimental Psychology: Learning, Memory, and Cognition",https://doi.org/10.1037/xlm0000994,1,2022,0.33,FALSE,NA
1939-1285,10.1037/xlm0001433,McDonald; Zamuner,2025,The relationship between language experience variables and the time course of spoken word recognition.,"Journal of Experimental Psychology: Learning, Memory, and Cognition",https://doi.org/10.1037/xlm0001433,0,2024,0,FALSE,NA
1939-1285,10.1037/a0028073,Renkewitz; Jahn,2012,Memory indexing: A novel method for tracing memory processes in complex cognitive tasks.,"Journal of Experimental Psychology: Learning, Memory, and Cognition",https://doi.org/10.1037/a0028073,15,2012,1.15,FALSE,NA
1939-1285,10.1037/xlm0000228,Crawford; Landy; Salthouse,2016,Spatial working memory capacity predicts bias in estimates of location.,"Journal of Experimental Psychology: Learning, Memory, and Cognition",https://doi.org/10.1037/xlm0000228,16,2016,1.78,FALSE,NA
0278-7393,10.1037/xlm0001368.supp,NA,2024,Supplemental Material for Phonological Networks and Systematicity in Early Lexical Acquisition,"Journal of Experimental Psychology: Learning, Memory, and Cognition",https://doi.org/10.1037/xlm0001368.supp,0,2024,0,FALSE,NA
1939-1285,10.1037/xlm0000340,Carpenter; Schacter,2017,Flexible retrieval: When true inferences produce false memories.,"Journal of Experimental Psychology: Learning, Memory, and Cognition",https://doi.org/10.1037/xlm0000340,45,2017,5.63,FALSE,NA
1939-1285,10.1037/xlm0001098,Bürki; Madec,2022,Picture-word interference in language production studies: Exploring the roles of attention and processing times.,"Journal of Experimental Psychology: Learning, Memory, and Cognition",https://doi.org/10.1037/xlm0001098,4,2022,1.33,FALSE,NA
0022-1031,10.1016/j.jesp.2012.09.002,vanDellen; Sanders; Fitzsimons,2013,Corrigendum to “When local processing increases the appeal of healthy options” [Journal of Experimental Social Psychology 48 (2012) 1100–1105],Journal of Experimental Social Psychology,https://doi.org/10.1016/j.jesp.2012.09.002,0,2013,0,FALSE,NA
0022-1031,10.1016/j.jesp.2010.11.005,Forgas,2011,Can negative affect eliminate the power of first impressions? Affective influences on primacy and recency effects in impression formation,Journal of Experimental Social Psychology,https://doi.org/10.1016/j.jesp.2010.11.005,72,2011,5.14,FALSE,NA
0022-1031,10.1016/j.jesp.2020.103991,Vorauer; Petsnik; Quesnel,2020,Who brings you up when you're feeling down? Distinct implications of dispositional empathy versus situationally-prompted empathic mindsets for targets' affective experience in face-to-face interpersonal interaction,Journal of Experimental Social Psychology,https://doi.org/10.1016/j.jesp.2020.103991,4,2020,0.8,FALSE,NA
0022-1031,10.1016/s0022-1031(17)30097-5,NA,2017,Editorial Board,Journal of Experimental Social Psychology,https://doi.org/10.1016/s0022-1031(17)30097-5,0,2017,0,FALSE,NA
0022-1031,10.1016/j.jesp.2022.104375,Fernández; Gaviria; Halperin; Agudo; González-Puerto; Chas-Villar; Saguy,2022,The protective effect of agency on victims of humiliation,Journal of Experimental Social Psychology,https://doi.org/10.1016/j.jesp.2022.104375,3,2022,1,FALSE,NA
0022-1031,10.1016/j.jesp.2007.01.008,Burkley; Blanton,2008,Endorsing a negative in-group stereotype as a self-protective strategy: Sacrificing the group to save the self,Journal of Experimental Social Psychology,https://doi.org/10.1016/j.jesp.2007.01.008,36,2008,2.12,FALSE,NA
0022-1031,10.1016/j.jesp.2012.10.009,Whitson; Liljenquist; Galinsky; Magee; Gruenfeld; Cadena,2013,The blind leading: Power reduces awareness of constraints,Journal of Experimental Social Psychology,https://doi.org/10.1016/j.jesp.2012.10.009,43,2013,3.58,FALSE,NA
0022-1031,10.1016/j.jesp.2010.10.016,Buck; Plant,2011,Interorientation interactions and impressions: Does the timing of disclosure of sexual orientation matter?,Journal of Experimental Social Psychology,https://doi.org/10.1016/j.jesp.2010.10.016,16,2011,1.14,FALSE,NA
0022-1031,10.1016/j.jesp.2018.05.002,Chen; Pauker; Gaither; Hamilton; Sherman,2018,Black + White = Not White: A minority bias in categorizations of Black-White multiracials,Journal of Experimental Social Psychology,https://doi.org/10.1016/j.jesp.2018.05.002,42,2018,6,FALSE,NA
0022-1031,10.1016/j.jesp.2017.01.002,Luan; Li,2017,Good enough—compromise between desirability and feasibility: An alternative perspective on satisficing,Journal of Experimental Social Psychology,https://doi.org/10.1016/j.jesp.2017.01.002,29,2017,3.63,FALSE,NA
0749-596X,10.1016/j.jml.2022.104374,Kumarage; Donnelly; Kidd,2022,Implicit learning of structure across time: A longitudinal investigation of syntactic priming in young English-acquiring children,Journal of Memory and Language,https://doi.org/10.1016/j.jml.2022.104374,10,2022,3.33,FALSE,NA
0749-596X,10.1016/j.jml.2009.11.004,Zimmerman; Kelley,2010,“I’ll remember this!” Effects of emotionality on memory predictions versus memory performance,Journal of Memory and Language,https://doi.org/10.1016/j.jml.2009.11.004,90,2010,6,FALSE,NA
0749-596X,10.1016/j.jml.2018.03.005,Kowialiewski; Majerus,2018,The non-strategic nature of linguistic long-term memory effects in verbal short-term memory,Journal of Memory and Language,https://doi.org/10.1016/j.jml.2018.03.005,25,2018,3.57,FALSE,NA
0749-596X,10.1016/j.jml.2018.05.002,Arnold; Strangmann; Hwang; Zerkle; Nappa,2018,Linguistic experience affects pronoun interpretation,Journal of Memory and Language,https://doi.org/10.1016/j.jml.2018.05.002,28,2018,4,FALSE,NA
0749-596X,10.1016/j.jml.2020.104111,Troyer; Kutas,2020,To catch a Snitch: Brain potentials reveal variability in the functional organization of (fictional) world knowledge during reading,Journal of Memory and Language,https://doi.org/10.1016/j.jml.2020.104111,11,2020,2.2,FALSE,NA
0749-596X,10.1016/s0749-596x(21)00020-6,NA,2021,Editorial Board,Journal of Memory and Language,https://doi.org/10.1016/s0749-596x(21)00020-6,0,2021,0,FALSE,NA
0749-596X,10.1016/j.jml.2023.104471,Wixted,2024,Atkinson and Shiffrin’s (1968) influential model overshadowed their contemporary theory of human memory,Journal of Memory and Language,https://doi.org/10.1016/j.jml.2023.104471,0,2024,0,FALSE,NA
0749-596X,10.1016/j.jml.2006.09.004,KARPICKE; ROEDIGERIII,2007,Repeated retrieval during learning is the key to long-term retention☆,Journal of Memory and Language,https://doi.org/10.1016/j.jml.2006.09.004,324,2007,18,FALSE,NA
0749-596X,10.1016/j.jml.2014.01.003,Perry; Ziegler; Zorzi,2014,When silent letters say more than a thousand words: An implementation and evaluation of CDP++ in French,Journal of Memory and Language,https://doi.org/10.1016/j.jml.2014.01.003,23,2014,2.09,FALSE,NA
0749-596X,10.1016/j.jml.2013.10.004,Mather; Jones; Estes,2014,Priming by relational integration in perceptual identification and Stroop colour naming,Journal of Memory and Language,https://doi.org/10.1016/j.jml.2013.10.004,6,2014,0.55,FALSE,NA
0894-3796,10.1002/job.1917,Lyons; Wessel; Ghumman; Ryan; Kim,2014,Applying models of employee identity management across cultures: Christianity in the USA and South Korea,Journal of Organizational Behavior,https://doi.org/10.1002/job.1917,17,2014,1.55,FALSE,NA
0894-3796,10.1002/job.2500,Hora; Lemoine; Xu; Shalley,2021,Unlocking and closing the gender gap in creative performance: A multilevel model,Journal of Organizational Behavior,https://doi.org/10.1002/job.2500,28,2021,7,FALSE,NA
0894-3796,10.1002/job.1782,Konrad; Yang,2012,"Is using work–life interface benefits a career‐limiting move? An examination of women, men, lone parents, and parents with partners",Journal of Organizational Behavior,https://doi.org/10.1002/job.1782,35,2012,2.69,FALSE,NA
0894-3796,10.1002/job.2731,Ward‐Bartlett; Ravlin; Park,2023,How genuine is your diversity climate? A new typology highlighting the emergence of specious diversity climates,Journal of Organizational Behavior,https://doi.org/10.1002/job.2731,0,2023,0,FALSE,NA
0894-3796,10.1002/job.2644,Wehrt; Casper; Sonnentag,2022,"More than a muscle: How self‐control motivation, depletion, and self‐regulation strategies impact task performance",Journal of Organizational Behavior,https://doi.org/10.1002/job.2644,8,2022,2.67,FALSE,NA
0894-3796,10.1002/job.724,Yang; Konrad,2011,Diversity and organizational innovation: The role of employee involvement,Journal of Organizational Behavior,https://doi.org/10.1002/job.724,89,2011,6.36,FALSE,NA
0894-3796,10.1002/job.742,Neal; Yeo; Koy; Xiao,2012,Predicting the form and direction of work role performance from the Big 5 model of personality traits,Journal of Organizational Behavior,https://doi.org/10.1002/job.742,92,2012,7.08,FALSE,NA
0894-3796,10.1002/job.2200,Byza; Schuh; Dörr; Spörrle; Maier,2017,Are two cynics better than one? Toward understanding effects of leader-follower (in-)congruence in social cynicism,Journal of Organizational Behavior,https://doi.org/10.1002/job.2200,30,2017,3.75,FALSE,NA
0894-3796,10.1002/job.469,Van de Vliert; Van Yperen; Thierry,2008,Are wages more important for employees in poorer countries with harsher climates?,Journal of Organizational Behavior,https://doi.org/10.1002/job.469,13,2008,0.76,FALSE,NA
0894-3796,10.1002/job.779,Zhou; Hirst; Shipton,2012,Context matters: Combined influence of participation and intellectual stimulation on the promotion focus–employee creativity relationship,Journal of Organizational Behavior,https://doi.org/10.1002/job.779,70,2012,5.38,FALSE,NA
1939-1315,10.1037/pspp0000198,Buttrick; Choi; Wilson; Oishi; Boker; Gilbert; Alper; Aveyard; Cheong; Čolić; Dalgar; Doğulu; Karabati; Kim; Knežević; Komiya; Laclé; Ambrosio Lage; Lazarević; Lazarević; Lins; Blanco Molina; Neto; Orlić; Petrović; Arroyo Sibaja; Torres Fernández; Vanpaemel; Voorspoels; Wilks,2019,Cross-cultural consistency and relativity in the enjoyment of thinking versus doing.,Journal of Personality and Social Psychology,https://doi.org/10.1037/pspp0000198,15,2019,2.5,FALSE,NA
1939-1315,10.1037/a0032703,Lee; Gregg; Park,2013,The person in the purchase: Narcissistic consumers prefer products that positively distinguish them.,Journal of Personality and Social Psychology,https://doi.org/10.1037/a0032703,78,2013,6.5,FALSE,NA
1939-1315,10.1037/pspp0000243,Atherton; Lawson; Ferrer; Robins,2020,"The role of effortful control in the development of ADHD, ODD, and CD symptoms.",Journal of Personality and Social Psychology,https://doi.org/10.1037/pspp0000243,22,2020,4.4,FALSE,NA
1939-1315,10.1037/a0024290,George; Helson; John,2011,"The “CEO” of women's work lives: How Big Five Conscientiousness, Extraversion, and Openness predict 50 years of work experiences in a changing sociocultural context.",Journal of Personality and Social Psychology,https://doi.org/10.1037/a0024290,36,2011,2.57,FALSE,NA
1939-1315,10.1037/pspa0000372,NA,2024,Correction to Hsee et al. (2023).,Journal of Personality and Social Psychology,https://doi.org/10.1037/pspa0000372,1,2024,1,FALSE,NA
1939-1315,10.1037/a0026272,Shepherd; Kay,2012,"On the perpetuation of ignorance: System dependence, system justification, and the motivated avoidance of sociopolitical information.",Journal of Personality and Social Psychology,https://doi.org/10.1037/a0026272,113,2012,8.69,FALSE,NA
0022-3514,10.1037/pspi0000369.supp,NA,2022,Supplemental Material for A Threatening Opportunity: The Prospect of Conversations About Race-Related Experiences Between Black and White Friends,Journal of Personality and Social Psychology,https://doi.org/10.1037/pspi0000369.supp,0,2022,0,FALSE,NA
0022-3514,10.1037/pspi0000416.supp,NA,2023,Supplemental Material for The Disempowering Implications for Members of Marginalized Groups of Imposing a Focus on Personal Experiences in Discussions of Intergroup Issues,Journal of Personality and Social Psychology,https://doi.org/10.1037/pspi0000416.supp,0,2023,0,FALSE,NA
0022-3514,10.1037/pspa0000063.supp,NA,2016,Supplemental Material for Tracking and Simulating Dynamics of Implicit Stereotypes: A Situated Social Cognition Perspective,Journal of Personality and Social Psychology,https://doi.org/10.1037/pspa0000063.supp,0,2016,0,FALSE,NA
0022-3514,10.1037/pspa0000321.supp,NA,2023,Supplemental Material for Ending on a Familiar Note: Perceived Endings Motivate Repeat Consumption,Journal of Personality and Social Psychology,https://doi.org/10.1037/pspa0000321.supp,0,2023,0,FALSE,NA
0882-2689,10.1007/s10862-007-9047-z,Mitchell; Zvolensky; Marshall; Bonn-Miller; Vujanovic,2007,Incremental Validity of Coping-oriented Marijuana Use Motives in the Prediction of Affect-based Psychological Vulnerability,Journal of Psychopathology and Behavioral Assessment,https://doi.org/10.1007/s10862-007-9047-z,22,2007,1.22,FALSE,NA
0882-2689,10.1007/s10862-018-9677-3,Ros; Gregg; Hart; Graziano,2018,The Association between Self-Regulation and Symptoms of Autism Spectrum Disorder in Preschoolers with Externalizing Behavior Problems,Journal of Psychopathology and Behavioral Assessment,https://doi.org/10.1007/s10862-018-9677-3,4,2018,0.57,FALSE,NA
0882-2689,10.1007/s10862-009-9139-z,Hommersen; Johnston,2010,Separation Anxiety and Oppositional Defiant Behavior: Perceived Comorbidity Resulting from Ambiguous Behavioral Items,Journal of Psychopathology and Behavioral Assessment,https://doi.org/10.1007/s10862-009-9139-z,3,2010,0.2,FALSE,NA
0882-2689,10.1007/s10862-014-9414-5,Bullock; Corlass-Brown; Murray,2014,Eveningness and Seasonality are Associated with the Bipolar Disorder Vulnerability Trait,Journal of Psychopathology and Behavioral Assessment,https://doi.org/10.1007/s10862-014-9414-5,12,2014,1.09,FALSE,NA
0882-2689,10.1007/s10862-012-9281-x,Salari; Terreros; Sarkadi,2012,Parenting Scale: Which Version Should We Use?,Journal of Psychopathology and Behavioral Assessment,https://doi.org/10.1007/s10862-012-9281-x,31,2012,2.38,FALSE,NA
0882-2689,10.1007/s10862-019-09782-7,Lapalme; Bégin; Le Corff; Déry,2020,"Comparison of Discriminant Validity Indices of Parent, Teacher, and Multi-Informant Reports of Behavioral Problems in Elementary Schoolers",Journal of Psychopathology and Behavioral Assessment,https://doi.org/10.1007/s10862-019-09782-7,19,2020,3.8,FALSE,NA
0882-2689,10.1007/s10862-025-10196-x,Hilt; Vachhani; Vaghasia; Swords; Sage,2025,Brief App-Based Mood Monitoring and Mindfulness Intervention for First-Year College Students: A Randomized Controlled Trial,Journal of Psychopathology and Behavioral Assessment,https://doi.org/10.1007/s10862-025-10196-x,0,2024,0,FALSE,NA
0882-2689,10.1007/s10862-024-10152-1,Robinson; Finley; Phillips; Ulrich; Cerny; Ovsiew; Pliskin; Soble,2024,Examining Concordance Between the Clinical Assessment of Attention Deficit-Adult and the Barkley Adult ADHD Rating Scale-IV in a Sample of Adults Referred for ADHD,Journal of Psychopathology and Behavioral Assessment,https://doi.org/10.1007/s10862-024-10152-1,1,2024,1,FALSE,NA
0882-2689,10.1007/s10862-023-10037-9,Sajjadi; Emadi; Shameli; Gross; Zargar; Sellbom,2023,Psychopathy in Iran: Developing and Validating a Persian Version of the Comprehensive Assessment of Psychopathic Personality- Self-Report (CAPP-SR),Journal of Psychopathology and Behavioral Assessment,https://doi.org/10.1007/s10862-023-10037-9,3,2023,1.5,FALSE,NA
0882-2689,10.1007/s10862-017-9630-x,Hirschmann; Kastner-Koller; Deimann; Schmelzer; Pietschnig,2018,Reliable and Valid Coding of Thin Slices of Video Footage: Applicability to the Assessment of Mother-Child Interactions,Journal of Psychopathology and Behavioral Assessment,https://doi.org/10.1007/s10862-017-9630-x,10,2018,1.43,FALSE,NA
0092-6566,10.1016/j.jrp.2024.104466,Junkins; Pantin; Derringer,2024,Personality across diverse sexual orientations and gender identities in an online convenience sample,Journal of Research in Personality,https://doi.org/10.1016/j.jrp.2024.104466,3,2024,3,FALSE,NA
0092-6566,10.1016/j.jrp.2010.01.007,Egberink; Meijer; Veldkamp,2010,Conscientiousness in the workplace: Applying mixture IRT to investigate scalability and predictive validity,Journal of Research in Personality,https://doi.org/10.1016/j.jrp.2010.01.007,18,2010,1.2,FALSE,NA
0092-6566,10.1016/j.jrp.2019.103845,Helm; Lifshin; Chau; Greenberg,2019,Existential isolation and death thought accessibility,Journal of Research in Personality,https://doi.org/10.1016/j.jrp.2019.103845,20,2019,3.33,FALSE,NA
0092-6566,10.1016/j.jrp.2016.06.011,Sadikaj; Moskowitz; Zuroff,2017,Intrapersonal variability in interpersonal perception in romantic relationships: Biases and accuracy,Journal of Research in Personality,https://doi.org/10.1016/j.jrp.2016.06.011,9,2017,1.13,FALSE,NA
0092-6566,10.1016/j.jrp.2023.104351,Ścigała; Arkoudi; Schild; Pfattheicher; Zettler,2023,The relation between Honesty-Humility and moral concerns as expressed in language,Journal of Research in Personality,https://doi.org/10.1016/j.jrp.2023.104351,1,2023,0.5,FALSE,NA
0092-6566,10.1016/j.jrp.2012.01.008,Collins; Gillath,2012,"Attachment, breakup strategies, and associated outcomes: The effects of security enhancement on the selection of breakup strategies",Journal of Research in Personality,https://doi.org/10.1016/j.jrp.2012.01.008,61,2012,4.69,FALSE,NA
0092-6566,10.1016/j.jrp.2014.03.002,Atherton; Robins; Rentfrow; Lamb,2014,Personality correlates of risky health outcomes: Findings from a large Internet study,Journal of Research in Personality,https://doi.org/10.1016/j.jrp.2014.03.002,45,2014,4.09,FALSE,NA
0092-6566,10.1016/j.jrp.2021.104124,Lazarević; Bjekić; Knežević,2021,Multitrait Multimethod validation of Implicit Association Test as a measure of individual differences in personality: Is there personality at all?,Journal of Research in Personality,https://doi.org/10.1016/j.jrp.2021.104124,2,2021,0.5,FALSE,NA
0092-6566,10.1016/j.jrp.2024.104473,Pfund; Burrow; Hill,2024,Purpose in daily life: Considering within-person sense of purpose variability,Journal of Research in Personality,https://doi.org/10.1016/j.jrp.2024.104473,4,2024,4,FALSE,NA
0092-6566,10.1016/j.jrp.2024.104472,Zawadzki; Hojjaty; Guilas; Song,2024,For whom is mind wandering stressful: The moderating role of dispositional emotionality and personality in predicting emotional experiences in everyday life,Journal of Research in Personality,https://doi.org/10.1016/j.jrp.2024.104472,1,2024,1,FALSE,NA
1050-8392,10.1111/jora.12918,Shi; Fan; Wang,2024,Scrutinizing parental minimization reactions to adolescents' negative emotions through the lens of Chinese culture,Journal of Research on Adolescence,https://doi.org/10.1111/jora.12918,2,2024,2,FALSE,NA
1050-8392,10.1111/jora.12725,May; Seider; El‐Amin; Diaz; Graves,2022,Black and Latinx Adolescents’ Developing Commitment to Antiracist Activism Over Four Years of High School,Journal of Research on Adolescence,https://doi.org/10.1111/jora.12725,7,2022,2.33,FALSE,NA
1050-8392,10.1111/jora.12844,Kaufman; Lessard; Watson,2023,Heterogenous associations between Gender‐Sexuality Alliances and LGBTQ adolescents' maladjustment across individual victimization level,Journal of Research on Adolescence,https://doi.org/10.1111/jora.12844,1,2023,0.5,FALSE,NA
1050-8392,10.1111/jora.12485,Bañales; Marchand; Skinner; Anyiwo; Rowley; Kurtz‐Costes,2020,Black Adolescents’ Critical Reflection Development: Parents’ Racial Socialization and Attributions About Race Achievement Gaps,Journal of Research on Adolescence,https://doi.org/10.1111/jora.12485,55,2020,11,FALSE,NA
