file,n_articles,citations_total
../data/raw/10230.jsonl.gz,24,619
../data/raw/10231.jsonl.gz,9,285
../data/raw/10232.jsonl.gz,2,25
../data/raw/10233.jsonl.gz,2,4
../data/raw/10234.jsonl.gz,0,0
../data/raw/10235.jsonl.gz,1,5
../data/raw/10236.jsonl.gz,0,0
../data/raw/10237.jsonl.gz,1,4
../data/raw/10238.jsonl.gz,10,152
../data/raw/10239.jsonl.gz,17,958
../data/raw/1024.jsonl.gz,0,0
../data/raw/10240.jsonl.gz,10,179
../data/raw/10241.jsonl.gz,15,382
../data/raw/10242.jsonl.gz,8,243
../data/raw/10243.jsonl.gz,7,75
../data/raw/10244.jsonl.gz,10,265
../data/raw/10245.jsonl.gz,6,101
../data/raw/10246.jsonl.gz,12,300
../data/raw/10247.jsonl.gz,9,90
../data/raw/10248.jsonl.gz,18,312
../data/raw/10249.jsonl.gz,17,203
../data/raw/1025.jsonl.gz,0,0
../data/raw/10250.jsonl.gz,27,730
../data/raw/10251.jsonl.gz,32,918
../data/raw/10252.jsonl.gz,32,758
../data/raw/10253.jsonl.gz,25,367
../data/raw/10254.jsonl.gz,50,1057
../data/raw/10255.jsonl.gz,1,7
../data/raw/10256.jsonl.gz,1,18
../data/raw/10257.jsonl.gz,1,37
../data/raw/10258.jsonl.gz,2,108
../data/raw/10259.jsonl.gz,3,22
../data/raw/1026.jsonl.gz,0,0
../data/raw/10260.jsonl.gz,8,93
../data/raw/10261.jsonl.gz,13,286
../data/raw/10262.jsonl.gz,4,41
../data/raw/10263.jsonl.gz,13,442
../data/raw/10264.jsonl.gz,2,94
../data/raw/10265.jsonl.gz,0,0
../data/raw/10266.jsonl.gz,13,256
../data/raw/10267.jsonl.gz,8,144
../data/raw/10268.jsonl.gz,9,172
../data/raw/10269.jsonl.gz,12,390
../data/raw/1027.jsonl.gz,0,0
../data/raw/10270.jsonl.gz,2,110
../data/raw/10271.jsonl.gz,4,68
../data/raw/10272.jsonl.gz,12,197
../data/raw/10273.jsonl.gz,4,70
../data/raw/10274.jsonl.gz,15,330
../data/raw/10275.jsonl.gz,2,10
../data/raw/10276.jsonl.gz,3,62
../data/raw/10277.jsonl.gz,8,340
../data/raw/10278.jsonl.gz,8,132
../data/raw/10279.jsonl.gz,9,166
../data/raw/1028.jsonl.gz,0,0
../data/raw/10280.jsonl.gz,5,70
../data/raw/10281.jsonl.gz,5,64
../data/raw/10282.jsonl.gz,9,250
../data/raw/10283.jsonl.gz,7,48
../data/raw/10284.jsonl.gz,4,92
../data/raw/10285.jsonl.gz,7,112
../data/raw/10286.jsonl.gz,7,237
../data/raw/10287.jsonl.gz,44,832
../data/raw/10288.jsonl.gz,14,244
../data/raw/10289.jsonl.gz,33,574
../data/raw/1029.jsonl.gz,0,0
../data/raw/10290.jsonl.gz,14,127
../data/raw/10291.jsonl.gz,20,670
../data/raw/10292.jsonl.gz,16,358
../data/raw/10293.jsonl.gz,11,310
../data/raw/10294.jsonl.gz,15,334
../data/raw/10295.jsonl.gz,4,65
../data/raw/10296.jsonl.gz,0,0
../data/raw/10297.jsonl.gz,0,0
../data/raw/10298.jsonl.gz,1,20
../data/raw/10299.jsonl.gz,0,0
../data/raw/103.jsonl.gz,0,0
../data/raw/1030.jsonl.gz,0,0
../data/raw/10300.jsonl.gz,0,0
../data/raw/10301.jsonl.gz,0,0
../data/raw/10302.jsonl.gz,1,3
../data/raw/10303.jsonl.gz,0,0
../data/raw/10304.jsonl.gz,1,1
../data/raw/10305.jsonl.gz,1,21
../data/raw/10306.jsonl.gz,0,0
../data/raw/10307.jsonl.gz,0,0
../data/raw/10308.jsonl.gz,8,115
../data/raw/10309.jsonl.gz,10,248
../data/raw/1031.jsonl.gz,0,0
../data/raw/10310.jsonl.gz,7,142
../data/raw/10311.jsonl.gz,14,315
../data/raw/10312.jsonl.gz,17,288
../data/raw/10313.jsonl.gz,12,268
../data/raw/10314.jsonl.gz,8,241
../data/raw/10315.jsonl.gz,15,420
../data/raw/10316.jsonl.gz,4,141
../data/raw/10317.jsonl.gz,11,202
../data/raw/10318.jsonl.gz,17,1281
../data/raw/10319.jsonl.gz,9,270
../data/raw/1032.jsonl.gz,0,0
../data/raw/10320.jsonl.gz,13,371
../data/raw/10321.jsonl.gz,4,110
../data/raw/10322.jsonl.gz,3,26
../data/raw/10323.jsonl.gz,25,503
../data/raw/10324.jsonl.gz,15,620
../data/raw/10325.jsonl.gz,4,122
../data/raw/10326.jsonl.gz,22,507
../data/raw/10327.jsonl.gz,7,111
../data/raw/10328.jsonl.gz,5,51
../data/raw/10329.jsonl.gz,2,12
../data/raw/1033.jsonl.gz,0,0
../data/raw/10330.jsonl.gz,3,47
../data/raw/10331.jsonl.gz,3,8
../data/raw/10332.jsonl.gz,20,245
../data/raw/10333.jsonl.gz,22,256
../data/raw/10334.jsonl.gz,21,540
../data/raw/10335.jsonl.gz,13,273
../data/raw/10336.jsonl.gz,21,392
../data/raw/10337.jsonl.gz,28,483
../data/raw/10338.jsonl.gz,21,755
../data/raw/10339.jsonl.gz,5,114
../data/raw/1034.jsonl.gz,0,0
../data/raw/10340.jsonl.gz,14,366
../data/raw/10341.jsonl.gz,4,43
../data/raw/10342.jsonl.gz,11,183
../data/raw/10343.jsonl.gz,14,324
../data/raw/10344.jsonl.gz,4,86
../data/raw/10345.jsonl.gz,3,10
../data/raw/10346.jsonl.gz,8,127
../data/raw/10347.jsonl.gz,12,278
../data/raw/10348.jsonl.gz,7,110
../data/raw/10349.jsonl.gz,11,270
../data/raw/1035.jsonl.gz,0,0
../data/raw/10350.jsonl.gz,10,409
../data/raw/10351.jsonl.gz,3,838
../data/raw/10352.jsonl.gz,11,172
../data/raw/10353.jsonl.gz,3,53
../data/raw/10354.jsonl.gz,15,350
../data/raw/10355.jsonl.gz,18,1228
../data/raw/10356.jsonl.gz,14,418
../data/raw/10357.jsonl.gz,8,337
../data/raw/10358.jsonl.gz,0,0
../data/raw/10359.jsonl.gz,1,0
../data/raw/1036.jsonl.gz,0,0
../data/raw/10360.jsonl.gz,10,291
../data/raw/10361.jsonl.gz,4,76
../data/raw/10362.jsonl.gz,4,166
../data/raw/10363.jsonl.gz,7,172
../data/raw/10364.jsonl.gz,4,66
../data/raw/10365.jsonl.gz,4,48
../data/raw/10366.jsonl.gz,8,512
../data/raw/10367.jsonl.gz,6,166
../data/raw/10368.jsonl.gz,5,90
../data/raw/10369.jsonl.gz,15,322
../data/raw/1037.jsonl.gz,0,0
../data/raw/10370.jsonl.gz,7,125
../data/raw/10371.jsonl.gz,8,174
../data/raw/10372.jsonl.gz,16,1322
../data/raw/10373.jsonl.gz,8,142
../data/raw/10374.jsonl.gz,4,68
../data/raw/10375.jsonl.gz,14,187
../data/raw/10376.jsonl.gz,12,321
../data/raw/10377.jsonl.gz,11,188
../data/raw/10378.jsonl.gz,7,165
../data/raw/10379.jsonl.gz,8,272
